prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age
1058,7.93,2412,3,SUWANNEE,0,492600,43625,2000,100,1950,0,558,0,25
1143,6.41,2210,3,SUWANNEE,0,433100,50534,2004,100,1662,0,1034,0,21
1199,10.1,2042,3,SUWANNEE,0,451800,31386,1997,100,2042,0,142,0,28
1270,2.57,2809,4,SUWANNEE,237900,625300,30664,2012,100,2285,524,424,810,13
1278,7.98,2496,4,SUWANNEE,0,961100,40237,2009,100,2496,0,1144,1395,16
1302,5.01,1784,3,SUWANNEE,0,375400,2656,2005,100,1784,0,61,440,20
1307,2,2508,4,SUWANNEE,33400,535500,50578,2005,100,2508,0,282,506,20
1311,1.28,1636,3,SUWANNEE,33400,252800,8758,1998,100,1636,0,158,0,27
1358,1.29,2587,4,HIGH SPRINGS,237800,544500,10274,2015,100,2371.5,0,488.5,529,10
1359,3.89,2468,4,HIGH SPRINGS,237800,481700,23270,2005,100,2468,0,310,575,20
1367,3.5,2297,4,HIGH SPRINGS,237800,573800,26124,2011,100,1805,492,636,576,14
1416,1.07,2260,3,HIGH SPRINGS,0,199700,6919,1994,100,1780,0,480,320,31
1430,1.2,2250,3,HIGH SPRINGS,0,427400,20850,2010,100,1260,990,192,371,15
1473,6.48,1416,3,HIGH SPRINGS,167100,495500,6240,2010,100,1416,0,0,288,15
1523,2.25,2596,3,SUWANNEE,0,674100,464,2008,100,2596,0,525,2004,17
1526,1.35,1823,3,SUWANNEE,0,435600,7910,2015,100,1823,0,124,441,10
1555,12.2,2553,3,SUWANNEE,173100,669900,46579,2006,100,2553,0,624,639,19
1610,1.19,1436,3,HIGH SPRINGS,167000,292100,2916,2012,100,1436,0,64,300,13
1613,1,2447,3,HIGH SPRINGS,167000,384500,12919,2000,100,7341,0,1398,0,25
1624,1,1903,3,HIGH SPRINGS,167000,357700,20905,2005,100,1903,0,512,420,20
1628,1,2004,3,HIGH SPRINGS,167000,443500,15700,2010,100,4008,0,1392,1248,15
1641,1,2046,3,HIGH SPRINGS,167000,340300,10996,2002,100,1727.5,0,510.5,480,23
1699,0.34,960,2,HIGH SPRINGS,0,25100,145,1994,100,1920,0,144,0,31
1714,0.24,1360,3,HIGH SPRINGS,180900,252200,2417,1994,100,1360,0,88,546,31
1717,0.36,1856,3,HIGH SPRINGS,180900,235800,640,2002,100,1856,0,301,400,23
1718,0.29,1329,3,HIGH SPRINGS,180900,275300,720,2013,100,1329,0,174,0,12
1719,0.3,1165,3,HIGH SPRINGS,180900,223300,2249,1998,100,1165,0,40,216,27
1742,0.17,1209,3,HIGH SPRINGS,180901,274900,607,2022,100,1209,0,80,420,3
1745,0.17,1397,3,HIGH SPRINGS,180901,280600,629,2022,100,1397,0,84,400,3
1750,0.18,1384,3,HIGH SPRINGS,180901,264400,624,2022,100,1384,0,84,420,3
1778,0.17,1397,3,HIGH SPRINGS,180901,259300,599,2022,100,1397,0,84,400,3
1786,0.17,1209,3,HIGH SPRINGS,180901,238500,0,2022,100,1209,0,16,420,3
1788,0.17,1202,3,HIGH SPRINGS,180901,244400,0,2023,100,1202,0,76,380,2
1789,0.17,1209,3,HIGH SPRINGS,180901,255000,942,2023,100,1209,0,16,420,2
